Date : 2024-05-20 20:04:18
Directory : d:\program\cpp_program\SoftRenderer_v2.0
Total : 84 files,  49988 codes, 10821 comments, 7341 blanks, all 68150 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| include\component                                                                                                      |          5 |        107 |         36 |         35 |        178 |
| include\gameobject                                                                                                     |          3 |         71 |         18 |         25 |        114 |
| include\math                                                                                                           |          4 |        257 |          1 |         56 |        314 |
| include\pipeline                                                                                                       |          5 |        115 |         15 |         40 |        170 |
| include\shader                                                                                                         |          2 |         85 |         17 |         20 |        122 |
| src                                                                                                                    |         19 |      1,505 |        484 |        368 |      2,357 |
| src (Files)                                                                                                            |          3 |        278 |          5 |         76 |        359 |
| src\component                                                                                                          |          5 |        358 |        290 |        101 |        749 |
| src\gameobject                                                                                                         |          3 |         92 |        122 |         18 |        232 |
| src\math                                                                                                               |          2 |        119 |          8 |         31 |        158 |
| src\pipeline                                                                                                           |          5 |        499 |         26 |        114 |        639 |
| src\shader                                                                                                             |          1 |        159 |         33 |         28 |        220 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                               | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\query\client-vscode\query.json                            | JSON        |          1 |          0 |          0 |          1 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\cache-v2-e5e2343c57d665f725fc.json                  | JSON        |      1,339 |          0 |          1 |      1,340 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\cmakeFiles-v1-f9078ca320574acd8f81.json             | JSON        |        165 |          0 |          1 |        166 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\codemodel-v2-8cd24b0b372aa87b13fb.json              | JSON        |         60 |          0 |          1 |         61 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json         | JSON        |         14 |          0 |          1 |         15 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\index-2024-05-20T11-26-08-0547.json                 | JSON        |        132 |          0 |          1 |        133 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\target-SoftRenderer-Debug-4e73a59e047ea92d24b7.json | JSON        |        355 |          0 |          1 |        356 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\.cmake\api\v1\reply\toolchains-v1-7801da1d76e67d09c845.json             | JSON        |        136 |          0 |          1 |        137 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeCache.txt                                                          | CMake Cache |        340 |          0 |         77 |        417 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CMakeCCompiler.cmake                                  | CMake       |         63 |          0 |         18 |         81 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CMakeCXXCompiler.cmake                                | CMake       |         73 |          0 |         20 |         93 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CMakeRCCompiler.cmake                                 | CMake       |          6 |          0 |          1 |          7 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CMakeSystem.cmake                                     | CMake       |         10 |          0 |          6 |         16 |
| d:\program\cpp_program\SoftRenderer_v2.0\Build\CMakeFiles\3.29.2\CompilerIdCXX\CMakeCXXCompilerId.cpp                  | C++         |        667 |         62 |        150 |        879 |
