"filename", "language", "Markdown", "C++", "Ini", "JSON", "CMake", "Makefile", "TypeScript", "C", "YAML", "CMake Cache", "comment", "blank", "total"
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\Camera.hpp", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 39
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\GameObject.hpp", "C++", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"d:\program\cpp_program\SoftRenderer_v2.0\include\gameobject\Light.hpp", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\MathUtil.hpp", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\Matrix.hpp", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 98
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\MinHeap.hpp", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\program\cpp_program\SoftRenderer_v2.0\include\math\Vector.hpp", "C++", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 168
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\ApplicationStage.hpp", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 25
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\Buffer.hpp", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\GeometricStage.hpp", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 32
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\RasterizationStage.hpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 28
"d:\program\cpp_program\SoftRenderer_v2.0\include\pipeline\RenderPipeline.hpp", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52
"d:\program\cpp_program\SoftRenderer_v2.0\include\shader\Shader.hpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\program\cpp_program\SoftRenderer_v2.0\include\shader\ShaderData.hpp", "C++", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 83
"d:\program\cpp_program\SoftRenderer_v2.0\include\ui.hpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\program\cpp_program\SoftRenderer_v2.0\main.cpp", "C++", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 80
"d:\program\cpp_program\SoftRenderer_v2.0\src\Color.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\program\cpp_program\SoftRenderer_v2.0\src\Scene.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Component.cpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Mesh.cpp", "C++", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 27, 64, 381
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\MeshRenderer.cpp", "C++", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 105
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Renderer.cpp", "C++", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 264, 8, 282
"d:\program\cpp_program\SoftRenderer_v2.0\src\component\Transform.cpp", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Camera.cpp", "C++", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 122, 9, 210
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\GameObject.cpp", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\program\cpp_program\SoftRenderer_v2.0\src\gameobject\Light.cpp", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5
"d:\program\cpp_program\SoftRenderer_v2.0\src\math\MathUtil.cpp", "C++", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 76
"d:\program\cpp_program\SoftRenderer_v2.0\src\math\MinHeap.cpp", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 82
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\ApplicationStage.cpp", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\Buffer.cpp", "C++", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 142
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\GeometricStage.cpp", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RasterizationStage.cpp", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"d:\program\cpp_program\SoftRenderer_v2.0\src\pipeline\RenderPipeline.cpp", "C++", 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 16, 80, 409
"d:\program\cpp_program\SoftRenderer_v2.0\src\shader\Shader.cpp", "C++", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 33, 28, 220
"d:\program\cpp_program\SoftRenderer_v2.0\src\ui.cpp", "C++", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64, 288
"Total", "-", 9, 45107, 12, 2366, 361, 555, 2, 682, 601, 340, 10827, 7344, 68206
